succint_phylogeny	final_represenatitve	accession	
include	FZCC0015	FZCC0015	FZCC0015.fa
include	GCA_000504605.1_ASM50460v1	GCA_000504605.1	GCA_000504605_1.fa
include	GCA_000504625.1_ASM50462v1	GCA_000504625.1	GCA_000504625_1.fa
include	GCA_000513055.1_ASM51305v1	GCA_000513055.1	GCA_000513055_1.fa
include	GCA_000513075.1_ASM51307v1	GCA_000513075.1	GCA_000513075_1.fa
include	GCA_014653385.1_SAG-MED50	GCA_014653385.1	GCA_014653385_1.fa
include	GCA_014653835.1_SAG-MED28	GCA_014653835.1	GCA_014653835_1.fa
include	GCA_014653985.1_SAG-MED22	GCA_014653985.1	GCA_014653985_1.fa
include	GCA_014654265.1_SAG-MED11	GCA_014654265.1	GCA_014654265_1.fa
include	GCA_014654415.1_SAG-MED05	GCA_014654415.1	GCA_014654415_1.fa
include	GCA_902509665.1_AG-313-A04	GCA_902509665.1	GCA_902509665_1.fa
include	GCA_902515705.1_AG-325-E20	GCA_902515705.1	GCA_902515705_1.fa
include	GCA_902517495.1_AG-325-P23	GCA_902517495.1	GCA_902517495_1.fa
include	GCA_902518155.1_AG-894-B07	GCA_902518155.1	GCA_902518155_1.fa
include	GCA_902518165.1_AG-894-B06	GCA_902518165.1	GCA_902518165_1.fa
include	GCA_902520335.1_AG-894-K14	GCA_902520335.1	GCA_902520335_1.fa
include	GCA_902520695.1_AG-894-L17	GCA_902520695.1	GCA_902520695_1.fa
include	GCA_902521615.1_AG-894-O09	GCA_902521615.1	GCA_902521615_1.fa
include	GCA_902523185.1_AG-895-E15	GCA_902523185.1	GCA_902523185_1.fa
include	GCA_902523515.1_AG-895-F17	GCA_902523515.1	GCA_902523515_1.fa
include	GCA_902524115.1_AG-337-C14	GCA_902524115.1	GCA_902524115_1.fa
include	GCA_902524235.1_AG-337-C19	GCA_902524235.1	GCA_902524235_1.fa
include	GCA_902524345.1_AG-895-J19	GCA_902524345.1	GCA_902524345_1.fa
include	GCA_902524535.1_AG-895-K10	GCA_902524535.1	GCA_902524535_1.fa
include	GCA_902524545.1_AG-337-D17	GCA_902524545.1	GCA_902524545_1.fa
include	GCA_902524595.1_AG-337-D16	GCA_902524595.1	GCA_902524595_1.fa
include	GCA_902524945.1_AG-337-E15	GCA_902524945.1	GCA_902524945_1.fa
include	GCA_902524955.1_AG-895-L23	GCA_902524955.1	GCA_902524955_1.fa
include	GCA_902525505.1_AG-337-G04	GCA_902525505.1	GCA_902525505_1.fa
include	GCA_902525625.1_AG-337-G11	GCA_902525625.1	GCA_902525625_1.fa
include	GCA_902525935.1_AG-337-I10	GCA_902525935.1	GCA_902525935_1.fa
include	GCA_902529645.1_AG-896-O18	GCA_902529645.1	GCA_902529645_1.fa
include	GCA_902530635.1_AG-343-E17	GCA_902530635.1	GCA_902530635_1.fa
include	GCA_902531175.1_AG-897-G09	GCA_902531175.1	GCA_902531175_1.fa
include	GCA_902531765.1_AG-897-G15	GCA_902531765.1	GCA_902531765_1.fa
include	GCA_902532525.1_AG-897-O16	GCA_902532525.1	GCA_902532525_1.fa
include	GCA_902533445.1_AG-898-C07	GCA_902533445.1	GCA_902533445_1.fa
include	GCA_902533775.1_AG-898-D09	GCA_902533775.1	GCA_902533775_1.fa
include	GCA_902535255.1_AG-349-C11	GCA_902535255.1	GCA_902535255_1.fa
include	GCA_902535465.1_AG-349-D08	GCA_902535465.1	GCA_902535465_1.fa
include	GCA_902536385.1_AG-349-F22	GCA_902536385.1	GCA_902536385_1.fa
include	GCA_902536765.1_AG-349-I05	GCA_902536765.1	GCA_902536765_1.fa
include	GCA_902537055.1_AG-899-A06	GCA_902537055.1	GCA_902537055_1.fa
include	GCA_902537795.1_AG-349-L17	GCA_902537795.1	GCA_902537795_1.fa
include	GCA_902538525.1_AG-899-G03	GCA_902538525.1	GCA_902538525_1.fa
include	GCA_902538845.1_AG-349-O05	GCA_902538845.1	GCA_902538845_1.fa
include	GCA_902539165.1_AG-899-J02	GCA_902539165.1	GCA_902539165_1.fa
include	GCA_902539445.1_AG-899-J23	GCA_902539445.1	GCA_902539445_1.fa
include	GCA_902539745.1_AG-359-B04	GCA_902539745.1	GCA_902539745_1.fa
include	GCA_902540235.1_AG-899-M07	GCA_902540235.1	GCA_902540235_1.fa
include	GCA_902540275.1_AG-359-D09	GCA_902540275.1	GCA_902540275_1.fa
include	GCA_902541285.1_AG-359-G17	GCA_902541285.1	GCA_902541285_1.fa
include	GCA_902541315.1_AG-359-G18	GCA_902541315.1	GCA_902541315_1.fa
include	GCA_902543155.1_AG-359-O02	GCA_902543155.1	GCA_902543155_1.fa
include	GCA_902543295.1_AG-900-G16	GCA_902543295.1	GCA_902543295_1.fa
include	GCA_902543485.1_AG-900-I13	GCA_902543485.1	GCA_902543485_1.fa
include	GCA_902543575.1_AG-900-I19	GCA_902543575.1	GCA_902543575_1.fa
include	GCA_902544135.1_AG-900-K21	GCA_902544135.1	GCA_902544135_1.fa
include	GCA_902545635.1_AG-901-A07	GCA_902545635.1	GCA_902545635_1.fa
include	GCA_902547535.1_AG-901-I06	GCA_902547535.1	GCA_902547535_1.fa
include	GCA_902551755.1_AG-903-K07	GCA_902551755.1	GCA_902551755_1.fa
include	GCA_902551985.1_AG-903-L07	GCA_902551985.1	GCA_902551985_1.fa
include	GCA_902552345.1_AG-903-M21	GCA_902552345.1	GCA_902552345_1.fa
include	GCA_902552805.1_AG-903-O08	GCA_902552805.1	GCA_902552805_1.fa
include	GCA_902555275.1_AG-904-G21	GCA_902555275.1	GCA_902555275_1.fa
include	GCA_902555435.1_AG-390-C17	GCA_902555435.1	GCA_902555435_1.fa
include	GCA_902555585.1_AG-904-K03	GCA_902555585.1	GCA_902555585_1.fa
include	GCA_902555665.1_AG-390-D05	GCA_902555665.1	GCA_902555665_1.fa
include	GCA_902555725.1_AG-390-D15	GCA_902555725.1	GCA_902555725_1.fa
include	GCA_902555825.1_AG-390-D18	GCA_902555825.1	GCA_902555825_1.fa
include	GCA_902557155.1_AG-390-G23	GCA_902557155.1	GCA_902557155_1.fa
include	GCA_902557215.1_AG-905-A07	GCA_902557215.1	GCA_902557215_1.fa
include	GCA_902557775.1_AG-905-B19	GCA_902557775.1	GCA_902557775_1.fa
include	GCA_902558255.1_AG-390-L03	GCA_902558255.1	GCA_902558255_1.fa
include	GCA_902558545.1_AG-390-L16	GCA_902558545.1	GCA_902558545_1.fa
include	GCA_902558835.1_AG-390-M14	GCA_902558835.1	GCA_902558835_1.fa
include	GCA_902560075.1_AG-905-M05	GCA_902560075.1	GCA_902560075_1.fa
include	GCA_902560565.1_AG-404-B06	GCA_902560565.1	GCA_902560565_1.fa
include	GCA_902561155.1_AG-404-C23	GCA_902561155.1	GCA_902561155_1.fa
include	GCA_902562205.1_AG-907-E04	GCA_902562205.1	GCA_902562205_1.fa
include	GCA_902562645.1_AG-907-F09	GCA_902562645.1	GCA_902562645_1.fa
include	GCA_902564385.1_AG-907-M07	GCA_902564385.1	GCA_902564385_1.fa
include	GCA_902566705.1_AG-410-O02	GCA_902566705.1	GCA_902566705_1.fa
include	GCA_902567495.1_AG-414-B15	GCA_902567495.1	GCA_902567495_1.fa
include	GCA_902567685.1_AG-414-D07	GCA_902567685.1	GCA_902567685_1.fa
include	GCA_902567835.1_AG-414-E02	GCA_902567835.1	GCA_902567835_1.fa
include	GCA_902570125.1_AG-414-O09	GCA_902570125.1	GCA_902570125_1.fa
include	GCA_902570695.1_AG-909-F14	GCA_902570695.1	GCA_902570695_1.fa
include	GCA_902571015.1_AG-909-G08	GCA_902571015.1	GCA_902571015_1.fa
include	GCA_902571095.1_AG-422-B23	GCA_902571095.1	GCA_902571095_1.fa
include	GCA_902571135.1_AG-422-B22	GCA_902571135.1	GCA_902571135_1.fa
include	GCA_902571425.1_AG-422-C20	GCA_902571425.1	GCA_902571425_1.fa
include	GCA_902571845.1_AG-422-D23	GCA_902571845.1	GCA_902571845_1.fa
include	GCA_902572345.1_AG-422-F15	GCA_902572345.1	GCA_902572345_1.fa
include	GCA_902572515.1_AG-422-G03	GCA_902572515.1	GCA_902572515_1.fa
include	GCA_902572605.1_AG-909-N22	GCA_902572605.1	GCA_902572605_1.fa
include	GCA_902573425.1_AG-422-J20	GCA_902573425.1	GCA_902573425_1.fa
include	GCA_902573465.1_AG-910-B05	GCA_902573465.1	GCA_902573465_1.fa
include	GCA_902574035.1_AG-422-L15	GCA_902574035.1	GCA_902574035_1.fa
include	GCA_902575095.1_AG-910-G11	GCA_902575095.1	GCA_902575095_1.fa
include	GCA_902576375.1_AG-426-D09	GCA_902576375.1	GCA_902576375_1.fa
include	GCA_902576735.1_AG-910-M21	GCA_902576735.1	GCA_902576735_1.fa
include	GCA_902576855.1_AG-426-E17	GCA_902576855.1	GCA_902576855_1.fa
include	GCA_902577075.1_AG-426-F15	GCA_902577075.1	GCA_902577075_1.fa
include	GCA_902577615.1_AG-426-I15	GCA_902577615.1	GCA_902577615_1.fa
include	GCA_902578115.1_AG-426-L15	GCA_902578115.1	GCA_902578115_1.fa
include	GCA_902578155.1_AG-426-L23	GCA_902578155.1	GCA_902578155_1.fa
include	GCA_902578255.1_AG-911-D18	GCA_902578255.1	GCA_902578255_1.fa
include	GCA_902578315.1_AG-911-E05	GCA_902578315.1	GCA_902578315_1.fa
include	GCA_902578885.1_AG-426-M19	GCA_902578885.1	GCA_902578885_1.fa
include	GCA_902578935.1_AG-426-O05	GCA_902578935.1	GCA_902578935_1.fa
include	GCA_902579115.1_AG-911-G13	GCA_902579115.1	GCA_902579115_1.fa
include	GCA_902580275.1_AG-911-N14	GCA_902580275.1	GCA_902580275_1.fa
include	GCA_902580675.1_AG-430-F16	GCA_902580675.1	GCA_902580675_1.fa
include	GCA_902580895.1_AG-911-G06	GCA_902580895.1	GCA_902580895_1.fa
include	GCA_902581445.1_AG-911-K15	GCA_902581445.1	GCA_902581445_1.fa
include	GCA_902581585.1_AG-911-J19	GCA_902581585.1	GCA_902581585_1.fa
include	GCA_902581795.1_AG-430-F03	GCA_902581795.1	GCA_902581795_1.fa
include	GCA_902582155.1_AG-912-D10	GCA_902582155.1	GCA_902582155_1.fa
include	GCA_902582165.1_AG-912-D17	GCA_902582165.1	GCA_902582165_1.fa
include	GCA_902582315.1_AG-430-I18	GCA_902582315.1	GCA_902582315_1.fa
include	GCA_902582345.1_AG-430-G14	GCA_902582345.1	GCA_902582345_1.fa
include	GCA_902582665.1_AG-430-I06	GCA_902582665.1	GCA_902582665_1.fa
include	GCA_902583075.1_AG-912-G22	GCA_902583075.1	GCA_902583075_1.fa
include	GCA_902583295.1_AG-430-K19	GCA_902583295.1	GCA_902583295_1.fa
include	GCA_902583455.1_AG-912-F23	GCA_902583455.1	GCA_902583455_1.fa
include	GCA_902583585.1_AG-912-J06	GCA_902583585.1	GCA_902583585_1.fa
include	GCA_902583645.1_AG-430-N16	GCA_902583645.1	GCA_902583645_1.fa
include	GCA_902584995.1_AG-912-M06	GCA_902584995.1	GCA_902584995_1.fa
