genome	cluster.x	size.x	extended_phylogeny.x	succinct_phylogeny.x	final_representative.x	rep_accession.x	final_classification.x	genus_count	designated_type_species	updated_classification.x	initial_classification.x	accession	genome_extended.x	genome_type.x	is_95ANI_rep.x	new_isolate.x	isolate_origin.x	name	cluster.y	size.y	extended_phylogeny.y	succinct_phylogeny.y	final_representative.y	rep_accession.y	ecogenomics_classificaion	classification_preprint	final_classification.y	updated_classification.y	initial_classification.y	accession_underscore	genome_extended.y	genome_type.y	is_95ANI_rep.y	new_isolate.y	existing_isolate	isolate_origin.y	RefSeq_Assembly_.IMG_Genome_ID	SAG_or_Isolate_ID	Genome_Origin	Subgroup	Included_in_read_recruitment	Sampling_Date_MM.DD.YY	Depth_m	Latitude_deg	Longitude_deg	Completeness.x	Contamination.x	GC.x	Genome_Size	Longest_Contig	Mean_Contig_Length	N50_contigs	Ambiguous_Bases	X._Predicted_Genes	X._Contigs	reference	Category	SAG	Sample	project	cruise_name	cruise_id	station	bottle_id	depth_m.x	latitude_degrees_north	longitude_degrees_east	sample_date	longhurst_province	full_file_name	GC.y	GC.std	Genome.size	X..ambiguous.bases	X..scaffolds	X..contigs	Longest.scaffold	Longest.contig	N50..scaffolds.	N50..contigs.	Mean.scaffold.length	Mean.contig.length	Coding.density	Translation.table	X..predicted.genes	Completeness.y	Contamination.y	number	X95_rep	mia_incl	type.x	lineage	environment_type	depth_m.y	cluster_88	cluster_95	cluster_98	red77	node_77	red88	node_88	red92	node_92	user_genome	user_genome.1	classification	genus_gtdb_count	msa_percent	closest_genome_ani	domain_gtdb	phylum_gtdb	class_gtdb	order_gtdb	family_gtdb	genus_gtdb	species_gtdb	X	X.1
HTCC9565	cluster_000031	1	include	include	HTCC9565	HTCC9565	Ia.1.I	1	TRUE	Ia.1.I	Ia.1	HTCC9565	HTCC9565	isolate	TRUE	no	other	HTCC9565	cluster_000031	1	include	include	HTCC9565	HTCC9565	NA	Ia.1.I	Ia.1.I	Ia.1.I	Ia.1	HTCC9565	HTCC9565	isolate	TRUE	no	yes	other	GCF_012932795.1	HTCC9565	isolate	Ia.1.I	yes	NA	NA	44.4	-128.5	99.1	0	0.2893	1279673	202723	116288.273	152638	502	1360	11	JGI/IMG__Grote_et_al__2012__High-throughput_isolation_of_pelagic_marine_bacteria_from_the_coastal_subtropical_pacific_ocean_Brandon's_Masters_Thesis	Previous_isolate_genome_reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	494	yes	incl	isolate	Ia.1	offshore	NA	cluster_000093	cluster_000226	cluster_000113	RED77_6	557	RED88_23	567	RED92_46	834	HTCC9565	HTCC9565_Ia.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_S	12	NA	NA	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__	NA	NA
NP1	cluster_000120	1	include	include	NP1	NP1	Ia.1.I	1	TRUE	Ia.1.I	Ia.1	NP1	NP1	isolate	TRUE	no	other	NP1	cluster_000120	1	include	include	NP1	NP1	NA	Ia.1.I	Ia.1.I	Ia.1.I	Ia.1	NP1	NP1	isolate	TRUE	no	yes	other	NZ_CP038852.1	NP1	isolate	Ia.1.I	yes	5/13/17	40	47.83065	-129.74983	99.1	0.6	0.2955	1365704	1365704	1365704	1365704	0	1467	1	Morris_et_al__2020	Previous_isolate_genome_reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	497	yes	incl	isolate	Ia.1	offshore	40	cluster_000052	cluster_000192	cluster_000403	RED77_6	557	RED88_23	567	RED92_46	834	NP1	NP1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter giovannonii	12	80.18	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902611405	NA	NA
HTCC1062	cluster_000034	5	include	include	HTCC1062	HTCC1062	Ia.1.I	1	TRUE	Ia.1.I	Ia.1.I	HTCC1062	HTCC1062	isolate	TRUE	no	other	HTCC1062	cluster_000034	5	include	include	HTCC1062	HTCC1062	NA	Ia.1.I	Ia.1.I	Ia.1.I	Ia.1.I	HTCC1062	HTCC1062	isolate	TRUE	no	yes	other	GCF_000012345.1	HTCC1062	isolate	Ia.1.I	yes	NA	10	44.651667	-124.41167	100	0.5	0.2968	1308758	1308758	1308758	1308758	0	1352	1	Rappe_et_al__2002__IMG__Grote_et_al__2012	Previous_isolate_genome_reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	488	yes	incl	isolate	Ia.1.I	offshore	10	cluster_000052	cluster_000105	cluster_000007	RED77_6	557	RED88_23	567	RED92_46	834	HTCC1062	HTCC1062_Ia.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique	12	80.08	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__AG-422-B15	g__AG-422-B15	s__AG-422-B15 sp902622985	NA	NA
HTCC7214	cluster_000271	1	include	include	HTCC7214	HTCC7214	Ia.3.I	2	FALSE	Ia.3.I	Ia.3.I	HTCC7214	HTCC7214	isolate	TRUE	no	other	HTCC7214	cluster_000271	1	include	include	HTCC7214	HTCC7214	NA	Ia.3.I	Ia.3.I	Ia.3.I	Ia.3.I	HTCC7214	HTCC7214	isolate	TRUE	no	yes	other	GCF_000701385.1	HTCC7214	isolate	Ia.3.I	yes	NA	10	31.833333	-64.166667	99.1	0.5	0.2924	1375059	1043745	687494.5	1043745	70	1431	2	Stingl__Tripp_and_Giovannoni_2007__IMG	Previous_isolate_genome_reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490	yes	incl	isolate	Ia.3.I	offshore	10	cluster_000120	cluster_000273	cluster_000301	RED77_6	557	RED88_23	567	RED92_47	568	HTCC7214	HTCC7214_Ia.3.I	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__	12	NA	NA	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter ubique_Q	NA	NA
HTCC7211	cluster_000004	2	include	include	HTCC7211	HTCC7211	Ia.3.I	2	TRUE	Ia.3.I	Ia.3.I	HTCC7211	HTCC7211	isolate	TRUE	no	other	HTCC7211	cluster_000004	2	include	include	HTCC7211	HTCC7211	NA	Ia.3.I	Ia.3.I	Ia.3.I	Ia.3.I	HTCC7211	HTCC7211	isolate	TRUE	no	yes	other	GCF_000155895.1	HTCC7211	isolate	Ia.3.I	no	NA	10	31.833333	-64.166667	100	0.5	0.2903	1456887	1456887	1456887	1456887	0	1544	1	Stingl__Tripp_and_Giovannoni_2007__IMG	Previous_isolate_genome_reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	489	no	incl	isolate	Ia.3.I	offshore	10	cluster_000120	cluster_000074	cluster_000192	RED77_6	557	RED88_23	567	RED92_47	568	HTCC7211	HTCC7211_Ia.3.I	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp000155895	12	84.19	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902613755	NA	NA
HIMB1412	cluster_000119	1	include	include	HIMB1412	HIMB1412	Ia.3.II	3	TRUE	Ia.3.II	Ia.3.II	HIMB1412	HIMB1412	isolate	TRUE	yes	new_HIMB	HIMB1412	cluster_000119	1	include	include	HIMB1412	HIMB1412	NA	Ia.3.II	Ia.3.II	Ia.3.II	Ia.3.II	HIMB1412	HIMB1412	isolate	TRUE	yes	no	new_HIMB	GCA_XXX	HIMB1412	isolate	Ia.3.II	yes	7/26/17	2	21.4829	-157.7663	100	0	29.3	1297477	1	1297477	1297477	0	1357	1	This_study	This_study	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	402	yes	incl	isolate	Ia.3.II	offshore	2	cluster_000112	cluster_000011	cluster_000136	RED77_6	557	RED88_23	567	RED92_47	568	HIMB1412	HIMB1412_Ia.3.II	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__	12	77.06	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp003213615	NA	NA
HIMB1420	cluster_000054	1	include	include	HIMB1420	HIMB1420	Ia.3.II	3	FALSE	Ia.3.II	Ia.3.II	HIMB1420	HIMB1420	isolate	TRUE	yes	new_HIMB	HIMB1420	cluster_000054	1	include	include	HIMB1420	HIMB1420	NA	Ia.3.II	Ia.3.II	Ia.3.II	Ia.3.II	HIMB1420	HIMB1420	isolate	TRUE	yes	no	new_HIMB	GCA_XXX	HIMB1420	isolate	Ia.3.II	yes	7/26/17	2	21.4829	-157.7663	100	0	28.8	1333724	2	707660	707660	0	1383	2	This_study	This_study	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	404	yes	incl	isolate	Ia.3.II	offshore	2	cluster_000071	cluster_000144	cluster_000330	RED77_6	557	RED88_23	567	RED92_47	568	HIMB1420	HIMB1420_Ia.3.II	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__	12	71.04	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp003278805	NA	NA
HIMB1427	cluster_000117	1	include	include	HIMB1427	HIMB1427	Ia.3.II	3	FALSE	Ia.3.II	Ia.3.II	HIMB1427	HIMB1427	isolate	TRUE	yes	new_HIMB	HIMB1427	cluster_000117	1	include	include	HIMB1427	HIMB1427	NA	Ia.3.II	Ia.3.II	Ia.3.II	Ia.3.II	HIMB1427	HIMB1427	isolate	TRUE	yes	no	new_HIMB	GCA_XXX	HIMB1427	isolate	Ia.3.II	yes	7/26/17	2	21.4829	-157.7663	100	4.3	28.9	1383661	27	223602	108405	0	1452	27	This_study	This_study	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	405	yes	incl	isolate	Ia.3.II	offshore	2	cluster_000071	cluster_000268	cluster_000394	RED77_6	557	RED88_23	567	RED92_47	568	HIMB1427	HIMB1427_Ia.3.II	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__	12	73.62	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp003281005	NA	NA
HIMB1520	cluster_000259	1	include	include	HIMB1520	HIMB1520	Ia.3.II	3	FALSE	Ia.3.II	Ia.3.II	HIMB1520	HIMB1520	isolate	TRUE	yes	new_HIMB	HIMB1520	cluster_000259	1	include	include	HIMB1520	HIMB1520	NA	Ia.3.II	Ia.3.II	Ia.3.II	Ia.3.II	HIMB1520	HIMB1520	isolate	TRUE	yes	no	new_HIMB	GCA_XXX	HIMB1520	isolate	Ia.3.II	yes	7/26/17	2	21.43635	-157.77737	100	0	28.6	1324447	1	1324447	1324447	0	1390	1	This_study	This_study	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	428	yes	incl	isolate	Ia.3.II	coastal	2	cluster_000071	cluster_000213	cluster_000018	RED77_6	557	RED88_23	567	RED92_47	568	HIMB1520	HIMB1520_Ia.3.II	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__	12	82.01	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902523515	NA	NA
HIMB5	cluster_000189	1	include	include	HIMB5	HIMB5	Ia.3.II	3	TRUE	Ia.3.II	Ia.3.II	HIMB5	HIMB5	isolate	TRUE	no	old_HIMB	HIMB5	cluster_000189	1	include	include	HIMB5	HIMB5	NA	Ia.3.II	Ia.3.II	Ia.3.II	Ia.3.II	HIMB5	HIMB5	isolate	TRUE	no	yes	old_HIMB	GCF_000299095.1	HIMB5	isolate	Ia.3.II	yes	NA	2	21.52735	-157.80912	100	0.5	0.2863	1343201	1343201	1343201	1343201	0	1433	1	JGI/IMG__Grote_et_al__2012__High-throughput_isolation_of_pelagic_marine_bacteria_from_the_coastal_subtropical_pacific_ocean_Brandon's_Masters_Thesis	Previous_isolate_genome_reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	483	yes	incl	isolate	Ia.3.II	offshore	2	cluster_000071	cluster_000251	cluster_000299	RED77_6	557	RED88_23	567	RED92_47	568	HIMB5	HIMB5_Ia.3.II	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp000299095	12	84.39	100	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Pelagibacter	s__Pelagibacter sp902615975	NA	NA
