genome	cluster	size	extended_phylogeny	succinct_phylogeny	final_representative	rep_accession	ecogenomics_classificaion	final_classification	updated_classification	initial_classification	accession	genome_extended	genome_type	is_95ANI_rep	new_isolate	existing_isolate	isolate_origin
HTCC1002	cluster_000034	5	include	excluded_not_95_rep	HTCC1062	HTCC1062		Ia.1.I	Ia.1.I	Ia.1.I	HTCC1002	HTCC1002	isolate	NA	no	yes	other
HTCC1013	cluster_000034	5	include	excluded_not_95_rep	HTCC1062	HTCC1062		Ia.1.I	Ia.1.I	Ia.1.I	HTCC1013	HTCC1013	isolate	NA	no	yes	other
HTCC1016	cluster_000034	5	include	excluded_not_95_rep	HTCC1062	HTCC1062		Ia.1.I	Ia.1.I	Ia.1.I	HTCC1016	HTCC1016	isolate	NA	no	yes	other
HTCC1040	cluster_000034	5	include	excluded_not_95_rep	HTCC1062	HTCC1062		Ia.1.I	Ia.1.I	Ia.1.I	HTCC1040	HTCC1040	isolate	NA	no	yes	other
HTCC1062	cluster_000034	5	include	include	HTCC1062	HTCC1062		Ia.1.I	Ia.1.I	Ia.1.I	HTCC1062	HTCC1062	isolate	TRUE	no	yes	other
HTCC9565	cluster_000031	1	include	include	HTCC9565	HTCC9565		Ia.1.I	Ia.1.I	Ia.1	HTCC9565	HTCC9565	isolate	TRUE	no	yes	other
NP1	cluster_000120	1	include	include	NP1	NP1		Ia.1.I	Ia.1.I	Ia.1	NP1	NP1	isolate	TRUE	no	yes	other
HTCC7211	cluster_000004	2	include	include	HTCC7211	HTCC7211		Ia.3.I	Ia.3.I	Ia.3.I	HTCC7211	HTCC7211	isolate	TRUE	no	yes	other
HTCC7214	cluster_000271	1	include	include	HTCC7214	HTCC7214		Ia.3.I	Ia.3.I	Ia.3.I	HTCC7214	HTCC7214	isolate	TRUE	no	yes	other
HTCC7217	cluster_000004	2	include	excluded_not_95_rep	HTCC7211	HTCC7211		Ia.3.I	Ia.3.I	Ia.3.I	HTCC7217	HTCC7217	isolate	NA	no	yes	other
HIMB1412	cluster_000119	1	include	include	HIMB1412	HIMB1412		Ia.3.II	Ia.3.II	Ia.3.II	HIMB1412	HIMB1412	isolate	TRUE	yes	no	new_HIMB
